CODIGO|PROCEDIMENTO|PORTE|VALOR PORTE|AUXILIARES|VALOR UCO|PORTE ANESTESICO|QTDE FILME|INCIDENCIA|VALOR
10101012|EM CONSULTÓRIO (NO HORÁRIO NORMAL OU PREESTABELECIDO)|01C|25,5||0||||63
10101012|EM CONSULTÓRIO (NO HORÁRIO NORMAL OU PREESTABELECIDO)|01C|25,5||0||||101,1
10101012|EM CONSULTÓRIO (NO HORÁRIO NORMAL OU PREESTABELECIDO)|01C|25,5||0||||112
10102019|VISITA HOSPITALAR (PACIENTE INTERNADO)|02A|34|0|0|0|0|0|34
10103015|ATENDIMENTO AO RECÉM-NASCIDO EM BERÇÁRIO|03C|108,8|0|0|0|0|0|108,8
10103023|ATENDIMENTO AO RECÉM-NASCIDO EM SALA DE PARTO (PARTO NORMAL OU OPERATÓRIO DE BAIXO RISCO)|04C|160,65|0|0|0|0|0|160,65
10103031|ATENDIMENTO AO RECEM NASCIDO EM SALA DE PARTO - PARTO COM RISCO|05B|187|0|0|0|0|0|187
10104011|ATENDIMENTO DO INTENSIVISTA DIARISTA (POR DIA E POR PACIENTE)|02B|45,9|0|0|0|0|0|45,9
10104020|ATENDIMENTO MÉDICO DO INTENSIVISTA EM UTI GERAL OU PEDIÁTRICA (PLANTÃO DE 12 HORAS - POR PACIENTE)|03C|108,8|0|0|0|0|0|108,8
10105034|TRANSPORTE EXTRA-HOSPITALAR TERRESTRE DE PACIENTES GRAVES, 1ª HORA - A PARTIR DO DESLOCAMENTO DO MÉD|03C|108,8|0|0|0|0|0|108,8
10105042|TRANSPORTE EXTRA-HOSPITALAR TERRESTRE DE PACIENTES GRAVES, POR HORA ADICIONAL - ATÉ O RETORNO DO MÉD|02B|45,9|0|0|0|0|0|45,9
10105050|TRANSPORTE EXTRA-HOSPITALAR AÉREO OU AQUÁTICO DE PACIENTES GRAVES, 1ª HORA - A PARTIR DO DESLOCAMENT|04A|130,05|0|0|0|0|0|130,05
10105069|TRANSPORTE EXTRA-HOSPITALAR AÉREO OU AQUÁTICO DE PACIENTES GRAVES, POR HORA ADICIONAL|02B|45,9|0|0|0|0|0|45,9
10105077|ACOMPANHAMENTO MÉDICO PARA TRANSPORTE INTRA-HOSPITALAR DE PACIENTES GRAVES. COM VENTILAÇÃO ASSISTID|02B|45,9|0|0|0|0|0|45,9
10106014|ACONSELHAMENTO GENÉTICO|04A|130,05|0|0|0|0|0|130,05
10106030|ATENDIMENTO AO FAMILIAR DO ADOLESCENTE|01C|25,5|0|0|0|0|0|25,5
10106073|JUNTA MÉDICA (3 OU + PROF) - DESTINA-SE AO ESCLARECIMENTO DIAG OU DECISÃO CONDUTA EM CASO DE DIFICIL|03B|95,2|0|0|0|0|0|95,2
10106146|ATENDIMENTO AMBULATORIAL EM PUERICULTURA|03B|95,2||0||||
20101015|ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE RENAL - POR AVALIAÇÃO|02B|45,9|0|0|0|0|0|45,9
20101023|ANÁLISE DA PROPORCIONALIDADE CINEANTROPOMÉTRICA|01A|8,5|0|0|0|0|0|8,5
20101074|AVALIAÇÃO NUTRICIONAL (CONTEMPLA A CONSULTA MÉDICA)|02B|45,9||0||||
20101082|AVALIAÇÃO NUTRICIONAL PRÉ E PÓS-CIRURGIA BARIÁTRICA (CONTEMPLA A CONSULTA MÉDICA)|02B|45,9|0|0|0|0|0|45,9
